t(s), y1(m), y2(m), v1(m/s), v2(m/s), a1(m/s^2), a2(m/s^2)
5.303200000000979,-116.3684513701358,-137.81505397790653,-40.33589822196861,-51.97233999994511,-5.766467842481564,-9.8
5.403300000000746,-120.43489723177912,-143.06663230990094,-40.910239379215746,-52.95331999994354,-5.70903315240995,-9.8
5.5034000000005125,-124.55854756831397,-148.41640673989522,-41.478860031768676,-53.93429999994196,-5.652170518528318,-9.8
5.603500000000279,-128.73883261652054,-153.86437726788935,-42.04181715651924,-54.91527999994039,-5.595874243090507,-9.8
5.703600000000046,-132.9751882880862,-159.41054389388327,-42.59916716286273,-55.89625999993881,-5.540138685100579,-9.8
5.803699999999813,-137.26705611308435,-165.05490661787707,-43.15096589835023,-56.87723999993724,-5.484958259747575,-9.8
5.903799999999579,-141.61388318401305,-170.79746543987073,-43.697268654284834,-57.85821999993566,-5.430327437845896,-9.8
6.003899999999346,-146.01512210039434,-176.6382203598642,-44.23813017126193,-58.83919999993409,-5.37624074528126,-9.8
6.103999999999113,-150.4702309139219,-182.5771713778575,-44.77360464465398,-59.82017999993251,-5.3226927624622276,-9.8
6.2040999999988795,-154.97867307415777,-188.6143184938507,-45.303745730041314,-60.80115999993094,-5.269678123777107,-9.8
6.304199999998646,-159.53991737476812,-194.74966170784367,-45.828606548588425,-61.78213999992936,-5.217191517056329,-9.8
6.404299999998413,-164.15343790029698,-200.9832010198365,-46.34823969236679,-62.76311999992779,-5.165227683040151,-9.8
6.50439999999818,-168.8187139734672,-207.31493642982926,-46.862697229625105,-63.74409999992621,-5.113781414851638,-9.8
6.604499999997946,-173.53523010300668,-213.74486793782177,-47.3720307100059,-64.72507999992465,-5.062847557474985,-9.8
6.704599999997713,-178.30247593199783,-220.27299554381415,-47.87629116971133,-65.70605999992307,-5.01242100723894,-9.8
6.80469999999748,-183.11994618673742,-226.89931924780637,-48.37552913661697,-66.6870399999215,-4.962496711305416,-9.8
6.9047999999972465,-187.98714062610532,-233.62383904979842,-48.86979463533519,-67.66801999991992,-4.913069667163153,-9.8
7.004899999997013,-192.90356399144184,-240.4465549497903,-49.35913719222714,-68.64899999991835,-4.8641349221265076,-9.8
7.10499999999678,-197.86872595692282,-247.36746694778208,-49.84360584036556,-69.62997999991677,-4.815687572839173,-9.8
7.205099999996547,-202.8821410804235,-254.38657504377366,-50.32324912444839,-70.6109599999152,-4.7677227647828095,-9.8
